strain	virus	segment	host	accession	date	location	country	database	authors	url	title	journal	paper_url
H-sapiens-wt_NGA_2018_LASV0188-ONDO-2018_MH887806_2018-02-14	Mammarenavirus lassaense	S	Homo sapiens	MH887806	2018-02-14	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887806	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0173-EDO-2018_MH887807_2018-02-12	Mammarenavirus lassaense	S	Homo sapiens	MH887807	2018-02-12	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887807	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0088-EDO-2017_MH887808_2017-06-27	Mammarenavirus lassaense	S	Homo sapiens	MH887808	2017-06-27	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887808	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0142-IMO-2018_MH887809_2018-01-19	Mammarenavirus lassaense	S	Homo sapiens	MH887809	2018-01-19	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887809	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0149-KOGI-2018_MH887810_2018-01-30	Mammarenavirus lassaense	S	Homo sapiens	MH887810	2018-01-30	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887810	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0084-EDO-2017_MH887811_2017-06-16	Mammarenavirus lassaense	S	Homo sapiens	MH887811	2017-06-16	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887811	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0184-ONDO-2018_MH887812_2018-02-13	Mammarenavirus lassaense	S	Homo sapiens	MH887812	2018-02-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887812	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0199-EDO-2018_MH887813_2018-02-20	Mammarenavirus lassaense	S	Homo sapiens	MH887813	2018-02-20	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887813	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0133-EDO-2018_MH887815_2018-01-16	Mammarenavirus lassaense	S	Homo sapiens	MH887815	2018-01-16	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887815	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0073-EDO-2017_MH887817_2017-03-07	Mammarenavirus lassaense	S	Homo sapiens	MH887817	2017-03-07	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887817	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0159-KOGI-2018_MH887818_2018-02-06	Mammarenavirus lassaense	S	Homo sapiens	MH887818	2018-02-06	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887818	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0140-EDO-2018_MH887819_2018-01-18	Mammarenavirus lassaense	S	Homo sapiens	MH887819	2018-01-18	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887819	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0126-EBONYI-2018_MH887820_2018-01-13	Mammarenavirus lassaense	S	Homo sapiens	MH887820	2018-01-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887820	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0164-ONDO-2018_MH887821_2018-02-09	Mammarenavirus lassaense	S	Homo sapiens	MH887821	2018-02-09	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887821	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0071-EDO-2017_MH887822_2017-02-14	Mammarenavirus lassaense	S	Homo sapiens	MH887822	2017-02-14	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887822	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0100-EDO-2017_MH887823_2017-10-18	Mammarenavirus lassaense	S	Homo sapiens	MH887823	2017-10-18	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887823	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0202-EDO-2018_MH887824_2018-02-22	Mammarenavirus lassaense	S	Homo sapiens	MH887824	2018-02-22	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887824	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0214-KOGI-2018_MH887825_2018-03-18	Mammarenavirus lassaense	S	Homo sapiens	MH887825	2018-03-18	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887825	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0085-EDO-2017_MH887826_2017-06-17	Mammarenavirus lassaense	S	Homo sapiens	MH887826	2017-06-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887826	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0067-EDO-2017_MH887827_2017-01-24	Mammarenavirus lassaense	S	Homo sapiens	MH887827	2017-01-24	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887827	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0185-ONDO-2018_MH887829_2018-02-13	Mammarenavirus lassaense	S	Homo sapiens	MH887829	2018-02-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887829	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0094-KOGI-2017_MH887830_2017-09-02	Mammarenavirus lassaense	S	Homo sapiens	MH887830	2017-09-02	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887830	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0069-EDO-2017_MH887831_2017-02-07	Mammarenavirus lassaense	S	Homo sapiens	MH887831	2017-02-07	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887831	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0217-DELTA-2018_MH887832_2018-03-27	Mammarenavirus lassaense	S	Homo sapiens	MH887832	2018-03-27	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887832	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0118-EDO-2018_MH887833_2018-01-09	Mammarenavirus lassaense	S	Homo sapiens	MH887833	2018-01-09	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887833	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0168-DELTA-2018_MH887834_2018-02-10	Mammarenavirus lassaense	S	Homo sapiens	MH887834	2018-02-10	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887834	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0102-ONDO-2017_MH887835_2017-11-26	Mammarenavirus lassaense	S	Homo sapiens	MH887835	2017-11-26	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887835	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0170-ONDO-2018_MH887836_2018-02-11	Mammarenavirus lassaense	S	Homo sapiens	MH887836	2018-02-11	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887836	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0125-EBONYI-2018_MH887837_2018-01-13	Mammarenavirus lassaense	S	Homo sapiens	MH887837	2018-01-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887837	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0086-EDO-2017_MH887838_2017-06-25	Mammarenavirus lassaense	S	Homo sapiens	MH887838	2017-06-25	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887838	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0201-ONDO-2018_MH887839_2018-02-21	Mammarenavirus lassaense	S	Homo sapiens	MH887839	2018-02-21	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887839	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0092-EDO-2017_MH887840_2017-08-04	Mammarenavirus lassaense	S	Homo sapiens	MH887840	2017-08-04	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887840	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0091-EDO-2017_MH887841_2017-08-03	Mammarenavirus lassaense	S	Homo sapiens	MH887841	2017-08-03	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887841	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0097-EDO-2017_MH887842_2017-10-06	Mammarenavirus lassaense	S	Homo sapiens	MH887842	2017-10-06	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887842	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0111-ONDO-2017_MH887843_2017-12-28	Mammarenavirus lassaense	S	Homo sapiens	MH887843	2017-12-28	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887843	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0089-ONDO-2017_MH887844_2017-07-05	Mammarenavirus lassaense	S	Homo sapiens	MH887844	2017-07-05	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887844	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0190-ONDO-2018_MH887845_2018-02-15	Mammarenavirus lassaense	S	Homo sapiens	MH887845	2018-02-15	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887845	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0122-ONDO-2018_MH887846_2018-01-11	Mammarenavirus lassaense	S	Homo sapiens	MH887846	2018-01-11	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887846	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0210-EDO-2018_MH887847_2018-03-03	Mammarenavirus lassaense	S	Homo sapiens	MH887847	2018-03-03	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887847	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0108-ONDO-2017_MH887848_2017-12-17	Mammarenavirus lassaense	S	Homo sapiens	MH887848	2017-12-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887848	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0104-ONDO-2017_MH887849_2017-12-12	Mammarenavirus lassaense	S	Homo sapiens	MH887849	2017-12-12	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887849	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0146-EDO-2018_MH887851_2018-01-24	Mammarenavirus lassaense	S	Homo sapiens	MH887851	2018-01-24	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887851	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0179-UNKNOWN-2018_MH887852_2018-02-13	Mammarenavirus lassaense	S	Homo sapiens	MH887852	2018-02-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887852	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0181-UNKNOWN-2018_MH887853_2018-02-13	Mammarenavirus lassaense	S	Homo sapiens	MH887853	2018-02-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887853	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0095-EDO-2017_MH887854_2017-09-14	Mammarenavirus lassaense	S	Homo sapiens	MH887854	2017-09-14	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887854	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0163-ONDO-2018_MH887855_2018-02-09	Mammarenavirus lassaense	S	Homo sapiens	MH887855	2018-02-09	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887855	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0119-2-EDO-2018_MH887856_2018-01-15	Mammarenavirus lassaense	S	Homo sapiens	MH887856	2018-01-15	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887856	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0177-EDO-2018_MH887857_2018-02-12	Mammarenavirus lassaense	S	Homo sapiens	MH887857	2018-02-12	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887857	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0167-ONDO-2018_MH887858_2018-02-10	Mammarenavirus lassaense	S	Homo sapiens	MH887858	2018-02-10	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887858	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0161-ONDO-2018_MH887859_2018-02-06	Mammarenavirus lassaense	S	Homo sapiens	MH887859	2018-02-06	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887859	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0127-EBONYI-2018_MH887860_2018-01-13	Mammarenavirus lassaense	S	Homo sapiens	MH887860	2018-01-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887860	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0206-EDO-2018_MH887861_2018-02-25	Mammarenavirus lassaense	S	Homo sapiens	MH887861	2018-02-25	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887861	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0186-UNKNOWN-2018_MH887862_2018-02-13	Mammarenavirus lassaense	S	Homo sapiens	MH887862	2018-02-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887862	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0174-EDO-2018_MH887863_2018-02-12	Mammarenavirus lassaense	S	Homo sapiens	MH887863	2018-02-12	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887863	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0132-ONDO-2018_MH887864_2018-01-15	Mammarenavirus lassaense	S	Homo sapiens	MH887864	2018-01-15	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887864	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0135-ONDO-2018_MH887865_2018-01-17	Mammarenavirus lassaense	S	Homo sapiens	MH887865	2018-01-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887865	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0137-ONDO-2018_MH887866_2018-01-17	Mammarenavirus lassaense	S	Homo sapiens	MH887866	2018-01-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887866	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0162-ONDO-2018_MH887867_2018-02-09	Mammarenavirus lassaense	S	Homo sapiens	MH887867	2018-02-09	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887867	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0136-ONDO-2018_MH887868_2018-01-17	Mammarenavirus lassaense	S	Homo sapiens	MH887868	2018-01-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887868	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0175-EDO-2018_MH887869_2018-02-12	Mammarenavirus lassaense	S	Homo sapiens	MH887869	2018-02-12	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887869	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0145-EDO-2018_MH887870_2018-01-23	Mammarenavirus lassaense	S	Homo sapiens	MH887870	2018-01-23	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887870	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
